,Powder,Particle Size (smallest) (m),Particle Size (widest) (m),Solvent,Dispersant,Binder Chain Mass (1),Binder Chain Mass (2),Binder_1,Binder_2,Water vol%,Powder vol%,Binder 1 vol%,Binder 2 vol%,Dispersant wt%,Viscosity,Gradient
42,Alumina,3.4e-07,6.1e-07,Water,Dolapix CE64,1300000.0,55000,PVP,PVP,41.8,46.1,4.1,4.1,1.635803116,0.046170924,2.589248308
43,Alumina,5e-07,7e-07,Water,Darvan 821,342.29,0,Sucrose,None,45.31,35.0,18.9,0.0,0.38129621399999997,8.834851537,0.022772386000000002
44,Alumina,5e-07,7e-07,Water,Darvan 821,342.29,0,Sucrose,None,57.91,35.0,6.3,0.0,0.385990971,20.51229753,0.013011131
45,Alumina,5e-07,7e-07,Water,Darvan 821,0.0,0,None,None,64.21,35.0,0.0,0.0,0.388381971,0.42964268200000005,0.067808825
46,Alumina,5e-07,7e-07,Water,Darvan 821,342.29,0,Sucrose,None,35.08,45.0,18.9,0.0,0.43086333200000004,0.814685732,0.073388779
47,Alumina,5e-07,7e-07,Water,Darvan 821,342.29,0,Sucrose,None,47.68,45.0,6.3,0.0,0.43549915899999997,0.6680336889999999,0.056599018
48,Alumina,1.7e-07,4.5e-07,Water,TAC,0.0,0,None,None,59.408,40.0,0.0,0.0,0.271412224,0.01162288,70.49117044
49,Alumina,1.7e-07,4.5e-07,Water,TAC,50000.0,0,Poly Acrylic Acid,None,79.3516,20.0,0.0564,0.0,0.37202362299999997,0.226387118,43.13737871
50,Alumina,1.7e-07,4.5e-07,Water,TAC,50000.0,0,Poly Acrylic Acid,None,59.3516,40.0,0.0564,0.0,0.271398189,1.6728828980000001,9.686551185
51,dfvsdfv,sdvfds,vdvd,sdv,sdfvsdv,sdvsdv,sdvsdv,sdvds,sdvsdv,dfvdfv,vds,vfff,dfvsd,dfvds,,2.0
52,dfvsdfv,sdvfds,vdvd,sdv,sdfvsdv,sdvsdv,sdvsdv,sdvds,sdvsdv,dfvdfv,vds,vfff,dfvsd,dfvds,,2.0
53,dfvsdfv,sdvfds,vdvd,sdv,sdfvsdv,sdvsdv,sdvsdv,sdvds,sdvsdv,dfvdfv,vds,vfff,dfvsd,dfvds,,2.0
54,PETER,erer,erverg,fdvdfv,GOON,dfvd,dfvdfv,dfvdvd,erf,ergerg,egrger,ergeg,wergeqg,qergeqg,,2.0
55,POWDER,MAX,MIN,SOLVENT,DISPERSANT,CHAIN MASS 1,CHAIN MASS 2,BINDER 1,BINDER 2,SOL VOL,POW VOL,1 VOL,2 VOL,DISP WT,,2.0
